2025-02-11 12:38:10.876 | ERROR    | 文件: D:\code\person_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 49 | - 查询字典枚举失败, list indices must be integers or slices, not str
2025-02-11 12:38:41.734 | ERROR    | 文件: D:\code\person_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 49 | - 查询字典枚举失败, list indices must be integers or slices, not str
2025-02-11 18:00:05.389 | ERROR    | 文件: D:\code\zyc\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举失败, object ScalarResult can't be used in 'await' expression
2025-02-11 18:01:12.741 | ERROR    | 文件: D:\code\zyc\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举失败, object ScalarResult can't be used in 'await' expression
2025-02-12 11:29:12.616 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 53 | - 查询字典枚举失败, tuple index out of range
2025-02-12 16:08:00.038 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: insert_data_into_db | 行数: 225 | - An unexpected error occurred: type object 'Dictionary' has no attribute 'dictionary_list'
2025-02-12 16:11:08.685 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: rollback_import_record | 行数: 122 | - 用户唐钰/张砚程, 钩稽数据导入回滚失败, type object 'Dictionary' has no attribute 'dictionary_list'
2025-02-12 17:31:16.829 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: insert_data_into_db | 行数: 228 | - An unexpected error occurred: 'list' object has no attribute 'lower'
2025-02-12 17:31:16.833 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: async_operations | 行数: 174 | - An error occurred during async operations: local variable 'first_inserted_id' referenced before assignment
2025-02-12 17:31:50.498 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: insert_data_into_db | 行数: 228 | - An unexpected error occurred: 'list' object has no attribute 'lower'
2025-02-12 17:31:50.500 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: async_operations | 行数: 174 | - An error occurred during async operations: local variable 'first_inserted_id' referenced before assignment
2025-02-12 17:32:52.618 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: insert_data_into_db | 行数: 228 | - An unexpected error occurred: 'list' object has no attribute 'lower'
2025-02-12 17:32:52.621 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: async_operations | 行数: 174 | - An error occurred during async operations: local variable 'first_inserted_id' referenced before assignment
2025-02-12 17:45:33.688 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 45 | - enum_id对应字典不存在
2025-02-12 17:45:33.690 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 56 | - 用户唐钰/张砚程, 新增导入钩稽数据记录失败, enum_id对应字典不存在
2025-02-12 17:46:38.701 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 45 | - channel字典不存在
2025-02-12 17:46:38.704 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 56 | - 用户唐钰/张砚程, 新增导入钩稽数据记录失败, channel字典不存在
2025-02-12 17:46:53.977 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 45 | - channel字典不存在
2025-02-12 17:46:53.980 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 56 | - 用户唐钰/张砚程, 新增导入钩稽数据记录失败, channel字典不存在
2025-02-12 17:50:06.807 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 46 | - channel字典不存在
2025-02-12 17:50:06.811 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 57 | - 新增导入钩稽数据记录失败, channel字典不存在
2025-02-12 18:05:14.043 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: CheckDictionary | 行数: 690 | - 查询字典枚举失败, enum_id=2字典不存在
2025-02-12 18:05:14.045 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 56 | - 新增导入钩稽数据记录失败, 查询字典枚举失败: enum_id=2字典不存在
2025-02-12 18:09:14.365 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: CheckDictionary | 行数: 690 | - 查询字典枚举失败, enum_id=2字典不存在
2025-02-12 18:09:14.369 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 56 | - 新增导入钩稽数据记录失败, 查询字典枚举失败, enum_id=2字典不存在
2025-02-12 18:24:05.643 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: CheckDictionary | 行数: 690 | - 查询字典枚举失败, enum_id=2字典不存在
2025-02-12 18:27:51.531 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: CheckDictionary | 行数: 690 | - 查询字典枚举失败, enum_id=2字典不存在
2025-02-12 18:27:51.536 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 56 | - 新增导入钩稽数据记录失败, 查询字典枚举失败, enum_id=2字典不存在
2025-02-12 18:28:05.667 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: CheckDictionary | 行数: 690 | - 查询字典枚举失败, enum_id=2字典不存在
2025-02-12 18:28:05.669 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 56 | - 新增导入钩稽数据记录失败, 查询字典枚举失败, enum_id=2字典不存在
2025-02-12 18:30:28.141 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: CheckDictionary | 行数: 690 | - 查询字典枚举失败, enum_id=2字典不存在
2025-02-12 18:35:43.165 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: CheckDictionary | 行数: 690 | - 查询字典枚举失败, enum_id=2字典不存在
2025-02-12 18:36:45.311 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: CheckDictionary | 行数: 690 | - 查询字典枚举失败, enum_id=2字典不存在
2025-02-12 18:38:05.002 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: CheckDictionary | 行数: 690 | - 查询字典枚举失败, enum_id=2字典不存在
2025-02-12 18:39:53.952 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: CheckDictionary | 行数: 690 | - 查询字典枚举失败, enum_id=2字典不存在
2025-02-12 18:41:08.453 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: CheckDictionary | 行数: 690 | - 查询字典枚举失败, enum_id=2字典不存在
2025-02-12 18:42:11.300 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: CheckDictionary | 行数: 690 | - 查询字典枚举失败, enum_id=2字典不存在
2025-02-12 18:42:11.350 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 64 | - 新增导入钩稽数据记录失败, 查询字典枚举失败, enum_id=2字典不存在
2025-02-13 09:01:48.528 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: CheckDictionary | 行数: 690 | - 查询字典枚举失败, 字典码2025002.enum_id=2字典不存在
2025-02-13 09:01:48.568 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 64 | - 新增导入钩稽数据记录失败, 查询字典枚举失败, 字典码2025002.enum_id=2字典不存在
2025-02-13 09:02:23.064 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: CheckDictionary | 行数: 690 | - 查询字典枚举失败, 字典码dict_code:2025002.enum_id:2字典不存在
2025-02-13 09:02:23.102 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 64 | - 新增导入钩稽数据记录失败, 查询字典枚举失败, 字典码dict_code:2025002.enum_id:2字典不存在
2025-02-13 14:19:55.225 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: QueryDictionary | 行数: 674 | - 查询字典枚举失败, <sqlalchemy.orm.attributes.InstrumentedAttribute object at 0x0000029A4A8CA220>
2025-02-13 14:23:58.108 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: QueryDictionary | 行数: 674 | - 查询字典枚举失败, <sqlalchemy.orm.attributes.InstrumentedAttribute object at 0x0000029A4A8CA220>
