2025-02-11 13:42:24.761 | DEBUG    | 文件: D:\code\person_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 45 | - 查询字典枚举成功, []
2025-02-11 13:43:03.257 | DEBUG    | 文件: D:\code\person_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 45 | - 查询字典枚举成功, <sqlalchemy.engine.result.ChunkedIteratorResult object at 0x000002104FBD9DC0>
2025-02-11 17:45:27.366 | DEBUG    | 文件: D:\code\zyc\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 47 | - 查询字典枚举成功, [(1, 'v1环境'), (2, '测试环境'), (3, '线上环境'), (1, '数字化中台'), (2, '灵犀会员'), (3, '企团险'), (4, '智慧驾驶'), (5, '其他')]
2025-02-12 11:20:58.876 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 47 | - 查询字典枚举成功, [(1, 'v1环境')]
2025-02-12 11:24:48.301 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, 1
2025-02-12 11:25:05.463 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, 2
2025-02-12 11:25:29.638 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, [(2, '测试环境')]
2025-02-12 11:27:56.912 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, <sqlalchemy.engine.result.ScalarResult object at 0x0000019D451CC280>
2025-02-12 11:28:19.391 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, [(2, '测试环境')]
2025-02-12 11:28:47.666 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, (2, '测试环境')
2025-02-12 11:29:24.307 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, (2, '测试环境')
2025-02-12 11:29:47.266 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, 测试环境
2025-02-12 11:29:59.356 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, 测试环境
2025-02-12 13:44:17.202 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, v1环境
2025-02-12 13:45:36.655 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, v1环境
2025-02-12 13:45:53.279 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, v1环境
2025-02-12 13:46:17.019 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, v1环境
2025-02-12 13:46:46.067 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, v1环境
2025-02-12 13:47:07.841 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, v1环境
2025-02-12 13:52:17.448 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, v1环境
2025-02-12 13:54:55.202 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, v1环境
2025-02-12 13:55:50.163 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, v1环境
2025-02-12 13:56:12.301 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, v1环境
2025-02-12 13:56:48.405 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, v1环境
2025-02-12 13:58:13.441 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, v1环境
2025-02-12 13:58:58.571 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, v1环境
2025-02-12 15:33:23.002 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, v1环境
2025-02-12 15:37:22.332 | DEBUG    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 50 | - 查询字典枚举成功, v1环境
